ORIGIN_MUNICIPIO,ORIGIN_COMUNA,ORIGIN_TIME,o_lat,o_long,DESTINATION_MUNICIPIO,DESTINATION_COMUNA,DESTINATION_TIME,d_lat,d_long,TRANSPORT_MODE_S1,TRIP_PURPOSE,ORIGIN_CLUSTER,DESTINATION_CLUSTER
Medellin,La Candelaria,21:00:00,6.245227972,-75.5661432,Medellin,San Javier,22:00:00,6.260104076,-75.60982328,Moto (Acompa?±ante),Casa,0,0
Medellin,San Javier,06:40:00,6.248301335,-75.62426899,Medellin,Belen,07:30:00,6.231887488,-75.60697449,Moto (Conductor),Trabajo,0,0
Medellin,Belen,16:30:00,6.218838153,-75.60803607,Medellin,San Javier,17:00:00,6.245885679,-75.62434493,Moto (Conductor),Casa,0,0
Medellin,San Javier,17:30:00,6.258905515,-75.60624608,Medellin,La Candelaria,18:00:00,6.248099787,-75.56384631,Moto (Conductor),Estudio,0,0
Medellin,La Candelaria,21:30:00,6.228588029,-75.56772462,Medellin,San Javier,22:00:00,6.260562841,-75.62877303,Moto (Conductor),Casa,0,-1
Medellin,San Javier,05:30:00,6.267519518,-75.60452308,Medellin,El Poblado,06:00:00,6.21187923,-75.56073753,Moto (Conductor),Trabajo,0,1
Medellin,El Poblado,15:30:00,6.212693095,-75.5734549,Medellin,Robledo,16:00:00,6.2811785,-75.57717278,Moto (Conductor),Estudio,0,0
Medellin,Robledo,22:00:00,6.277084874,-75.59130142,Medellin,San Javier,22:20:00,6.26112203,-75.60540937,Moto (Conductor),Casa,0,0
Medellin,San Javier,17:00:00,6.258222489,-75.61761007,Medellin,Doce de Octubre,18:00:00,6.302365874,-75.58333772,Moto (Conductor),Estudio,0,0
Medellin,San Javier,04:30:00,6.268374864,-75.61566684,Medellin,Laureles-Estadio,04:55:00,6.237763403,-75.60664956,Moto (Acompa?±ante),Trabajo,0,0
Medellin,San Javier,04:30:00,6.255532841,-75.61581105,Medellin,Belen,05:00:00,6.20474072,-75.60111116,Moto (Conductor),Trabajo,0,0
Medellin,Belen,17:00:00,6.232773114,-75.59853077,Medellin,San Javier,18:00:00,6.273370437,-75.60162151,Moto (Conductor),Casa,0,0
Medellin,San Javier,09:00:00,6.261730452,-75.61036303,Medellin,La Candelaria,10:00:00,6.245757083,-75.57025257,Moto (Conductor),Compras,0,0
Medellin,La Candelaria,11:00:00,6.263791607,-75.5714922,Medellin,San Javier,12:00:00,6.2455614,-75.61919647,Moto (Conductor),Casa,0,0
Medellin,San Javier,09:00:00,6.259145946,-75.62423191,Medellin,La Candelaria,10:00:00,6.25736583,-75.57001928,Moto (Acompa?±ante),Compras,0,221
Medellin,La Candelaria,11:00:00,6.243607245,-75.56766099,Medellin,San Javier,12:00:00,6.261332901,-75.62389425,Moto (Acompa?±ante),Casa,0,0
Medellin,Corregimiento Altavista,06:00:00,6.226284754,-75.64951874,Medellin,Corregimiento Altavista,06:05:00,6.243003603,-75.62603425,Moto (Acompa?±ante),Alguien,-1,-1
Medellin,Corregimiento Altavista,06:15:00,6.22418915,-75.64678651,Medellin,Corregimiento Altavista,06:20:00,6.208406407,-75.6103105,Moto (Acompa?±ante),Casa,-1,0
Medellin,Corregimiento Altavista,11:00:00,6.254387943,-75.65547235,Medellin,Corregimiento Altavista,11:05:00,6.235204128,-75.6258991,Moto (Acompa?±ante),Alguien,-1,-1
Medellin,Corregimiento Altavista,11:15:00,6.238570491,-75.65240915,Medellin,Corregimiento Altavista,11:20:00,6.208217722,-75.60958141,Moto (Acompa?±ante),Casa,-1,0
Medellin,Corregimiento Altavista,06:00:00,6.24009542,-75.63493205,Medellin,Corregimiento Altavista,06:05:00,6.228539376,-75.64867923,Moto (Acompa?±ante),Estudio,-1,-1
Medellin,Corregimiento Altavista,11:15:00,6.204247478,-75.61079271,Medellin,Corregimiento Altavista,11:20:00,6.199592623,-75.61760823,Moto (Acompa?±ante),Casa,-1,-1
Medellin,La Candelaria,21:30:00,6.259000201,-75.56336304,Medellin,Corregimiento Altavista,22:00:00,6.213932738,-75.62450223,Moto (Conductor),Casa,0,-1
Medellin,Guayabal,18:15:00,6.220420055,-75.58855012,Medellin,San Javier,18:50:00,6.24732707,-75.61962093,Moto (Conductor),Casa,0,0
Medellin,San Javier,07:30:00,6.257298178,-75.61358827,Medellin,Guayabal,07:50:00,6.20177318,-75.58853905,Moto (Acompa?±ante),Trabajo,0,0
Medellin,Guayabal,18:10:00,6.210440881,-75.57937369,Medellin,San Javier,18:50:00,6.267304685,-75.61530259,Moto (Acompa?±ante),Casa,0,0
Medellin,San Javier,06:20:00,6.251685726,-75.62834169,Medellin,La America,06:30:00,6.253166178,-75.60762115,Moto (Conductor),Alguien,0,0
Medellin,San Javier,06:20:00,6.262261423,-75.62612505,Medellin,Laureles-Estadio,06:35:00,6.242628128,-75.58405537,Moto (Acompa?±ante),Salud,0,0
Medellin,San Javier,06:20:00,6.248342906,-75.63464518,Medellin,La America,06:30:00,6.256771947,-75.59916085,Moto (Acompa?±ante),Estudio,-1,0
Medellin,San Javier,10:00:00,6.261299568,-75.60289339,Medellin,La America,10:15:00,6.245693176,-75.6028383,Moto (Conductor),Trabajo,0,0
Medellin,La America,12:00:00,6.251476281,-75.60807896,Medellin,San Javier,13:00:00,6.258078428,-75.61655135,Moto (Conductor),Casa,0,0
Medellin,San Javier,13:00:00,6.253075236,-75.61894311,Medellin,La Candelaria,13:15:00,6.253435621,-75.57054404,Moto (Conductor),Diligencia,0,200
Medellin,La Candelaria,16:00:00,6.24566873,-75.57544874,Medellin,San Javier,16:15:00,6.254296024,-75.62679923,Moto (Conductor),Casa,100,0
Medellin,San Javier,07:30:00,6.275475968,-75.60727673,Medellin,La Candelaria,08:00:00,6.252777729,-75.57324999,Moto (Conductor),Trabajo,0,200
Medellin,La Candelaria,18:00:00,6.228721198,-75.57091841,Medellin,Robledo,18:30:00,6.272455073,-75.61549983,Moto (Conductor),Estudio,103,0
Medellin,Robledo,20:30:00,6.276263409,-75.59747428,Medellin,San Javier,21:00:00,6.268014792,-75.61394968,Moto (Conductor),Casa,0,224
Medellin,San Javier,08:00:00,6.26308719,-75.61663174,Medellin,La Candelaria,08:30:00,6.257549236,-75.572454,Moto (Conductor),Trabajo,0,0
Medellin,La Candelaria,17:30:00,6.232659057,-75.56748238,Medellin,San Javier,18:00:00,6.255739967,-75.62013601,Moto (Conductor),Casa,103,0
Medellin,San Javier,08:00:00,6.2721822,-75.6041185,Medellin,La Candelaria,08:40:00,6.263686884,-75.57075545,Moto (Conductor),Estudio,0,222
Medellin,La Candelaria,18:30:00,6.246450391,-75.56384362,Medellin,San Javier,19:00:00,6.243050455,-75.61668097,Moto (Conductor),Casa,0,0
Medellin,San Javier,07:30:00,6.2503312,-75.61957928,Medellin,San Javier,08:00:00,6.260275969,-75.61360048,Moto (Conductor),Trabajo,0,0
