Cell_Row,Cell_Col,Technology,Latitude,Longitude
27,14,Standard_Charger,6.22600109482921,-75.5874697985513
28,16,Standard_Charger,6.23501010383822,-75.56928798036947
28,20,Standard_Charger,6.23501010383822,-75.53292434400583
29,14,Standard_Charger,6.244019112847228,-75.5874697985513
30,16,Standard_Charger,6.253028121856238,-75.56928798036947
30,19,Standard_Charger,6.253028121856238,-75.54201525309675
32,17,Standard_Charger,6.271046139874255,-75.56019707127857
33,13,Standard_Charger,6.280055148883265,-75.5965607076422
34,19,Standard_Charger,6.289064157892273,-75.54201525309675
35,16,Standard_Charger,6.298073166901283,-75.56928798036947
