Cell_Row,Cell_Col,Technology,Latitude,Longitude
1,16,Standard_Charger,6.177336788326554,-75.56928798036947
3,17,Standard_Charger,6.1953548063445725,-75.56019707127857
7,16,Standard_Charger,6.231390842380608,-75.56928798036947
7,20,Standard_Charger,6.231390842380608,-75.53292434400583
9,13,Standard_Charger,6.249408860398626,-75.5965607076422
9,17,Standard_Charger,6.249408860398626,-75.56019707127857
9,19,Standard_Charger,6.249408860398626,-75.54201525309675
10,15,High_Capacity_Charger,6.258417869407635,-75.57837888946038
