ORIGIN_CLUSTER,DESTINATION_CLUSTER,FLOW_WEIGHT,ORIGIN_CENTROID_LON,ORIGIN_CENTROID_LAT,DESTINATION_CENTROID_LON,DESTINATION_CENTROID_LAT,DOMINANT_TIME_BIN,DOMINANT_ORIGIN_ZONE,DOMINANT_DESTINATION_ZONE,DISTANCE_KM,DISTANCE_BIN
4,216,1,-75.54166309,6.24883329,-75.57222546,6.235146569,AM_PEAK,Villa Hermosa,La Candelaria,3.7052154733081144,Short
101,210,1,-75.56583297,6.254773422,-75.56484398,6.256399862,AM_PEAK,La Candelaria,La Candelaria,0.21132288464236074,Short
2,200,1,-75.54352748,6.238954295,-75.5722968,6.253891107,AM_PEAK,Villa Hermosa,La Candelaria,3.5876241653164986,Short
3,1,2,-75.53176288,6.230486006,-75.55807279,6.203209732,AM_PEAK,Villa Hermosa,El Poblado,4.202063266445899,Short
116,204,1,-75.56964787,6.257577563,-75.56595579,6.235978723,AM_PEAK,La Candelaria,La Candelaria,2.4361079029494217,Short
2,210,1,-75.54352748,6.238954295,-75.56484398,6.256399862,AM_PEAK,Villa Hermosa,La Candelaria,3.052011082898665,Short
3,207,1,-75.53176288,6.230486006,-75.5622245,6.261874492,AM_PEAK,Villa Hermosa,La Candelaria,4.849632740537448,Short
7,5,1,-75.52447522,6.231423933,-75.52633258,6.235030016,AM_PEAK,Villa Hermosa,Villa Hermosa,0.45048291562114906,Short
1,6,7,-75.55931263,6.198714745,-75.54213488,6.24569529,MIDDAY,El Poblado,Villa Hermosa,5.558390002431343,Medium
107,5,1,-75.57308543,6.23594142,-75.52633258,6.235030016,MIDDAY,La Candelaria,Villa Hermosa,5.168917318347339,Medium
6,0,6,-75.54028282,6.227744568,-75.58057905,6.261773129,MIDDAY,Buenos Aires,Robledo,5.8443656713493715,Medium
8,0,9,-75.57131236,6.181833624,-75.58057905,6.261773129,MIDDAY,El Poblado,Robledo,8.94769439486103,Medium
0,0,2233,-75.57921722,6.260332292,-75.58057905,6.261773129,MIDDAY,La Candelaria,Robledo,0.2198325168224912,Short
1,1,11,-75.55931263,6.198714745,-75.55807279,6.203209732,MIDDAY,El Poblado,El Poblado,0.5182706675161861,Short
0,209,30,-75.57921722,6.260332292,-75.56561334,6.252521634,MIDDAY,La Candelaria,La Candelaria,1.7364718881364798,Short
0,210,6,-75.57921722,6.260332292,-75.56484398,6.256399862,MIDDAY,La Candelaria,La Candelaria,1.6477834930337458,Short
0,218,10,-75.57921722,6.260332292,-75.56393672,6.246025551,MIDDAY,La Candelaria,La Candelaria,2.320237010439267,Short
5,218,1,-75.53075002,6.238083853,-75.56393672,6.246025551,MIDDAY,Villa Hermosa,La Candelaria,3.7731100860288698,Short
0,220,5,-75.57921722,6.260332292,-75.5621293,6.255430126,MIDDAY,La Candelaria,La Candelaria,1.9658520720808106,Short
111,0,4,-75.56077431,6.253637965,-75.58057905,6.261773129,MIDDAY,La Candelaria,Robledo,2.368604664862147,Short
111,216,1,-75.56077431,6.253637965,-75.57222546,6.235146569,MIDDAY,La Candelaria,La Candelaria,2.4145158343441575,Short
0,225,8,-75.57921722,6.260332292,-75.55541272,6.287446853,MIDDAY,La Candelaria,Aranjuez,4.001606185751505,Short
100,1,1,-75.57479261,6.244921286,-75.55807279,6.203209732,MIDDAY,La Candelaria,El Poblado,4.992788638906083,Short
102,6,2,-75.56150774,6.251117415,-75.54213488,6.24569529,MIDDAY,La Candelaria,Villa Hermosa,2.2246246765225535,Short
114,201,1,-75.60089701,6.252544383,-75.56763037,6.243565143,MIDDAY,La America,La Candelaria,3.8102527647348405,Short
100,216,1,-75.57479261,6.244921286,-75.57222546,6.235146569,MIDDAY,La Candelaria,La Candelaria,1.123330156339487,Short
113,6,1,-75.57474342,6.254181206,-75.54213488,6.24569529,MIDDAY,La Candelaria,Villa Hermosa,3.7258190598338494,Short
108,5,1,-75.56801047,6.246546147,-75.52633258,6.235030016,MIDDAY,La Candelaria,Villa Hermosa,4.781563782182754,Short
3,6,1,-75.53176288,6.230486006,-75.54213488,6.24569529,MIDDAY,Villa Hermosa,Villa Hermosa,2.0431762013729733,Short
113,202,1,-75.57474342,6.254181206,-75.57209533,6.248181087,MIDDAY,La Candelaria,La Candelaria,0.7285658134246151,Short
103,206,1,-75.5697882,6.23084439,-75.56905344,6.258837203,MIDDAY,La Candelaria,La Candelaria,3.1137181786634986,Short
104,206,1,-75.56396358,6.23766376,-75.56905344,6.258837203,MIDDAY,La Candelaria,La Candelaria,2.420666531919176,Short
116,205,1,-75.56964787,6.257577563,-75.56783736,6.248924017,MIDDAY,La Candelaria,La Candelaria,0.9828204642171411,Short
110,210,1,-75.5560925,6.249394913,-75.56484398,6.256399862,MIDDAY,La Candelaria,La Candelaria,1.2419490165408664,Short
2,212,1,-75.54352748,6.238954295,-75.56833206,6.227385782,MIDDAY,Villa Hermosa,La Candelaria,3.028596684221999,Short
106,6,2,-75.56683326,6.260308678,-75.54213488,6.24569529,MIDDAY,La Candelaria,Villa Hermosa,3.176993611463239,Short
107,7,1,-75.57308543,6.23594142,-75.55328222,6.260047494,MIDDAY,La Candelaria,Villa Hermosa,3.460690766569045,Short
3,219,1,-75.53176288,6.230486006,-75.57497159,6.23329307,MIDDAY,Villa Hermosa,La Candelaria,4.786385821215562,Short
110,7,1,-75.5560925,6.249394913,-75.55328222,6.260047494,MIDDAY,La Candelaria,Villa Hermosa,1.2245657094379077,Short
106,201,1,-75.56683326,6.260308678,-75.56763037,6.243565143,MIDDAY,La Candelaria,La Candelaria,1.8638797739936068,Short
5,209,1,-75.53075002,6.238083853,-75.56561334,6.252521634,MIDDAY,Villa Hermosa,La Candelaria,4.17465004534632,Short
104,1,1,-75.56396358,6.23766376,-75.55807279,6.203209732,MIDDAY,La Candelaria,El Poblado,3.8860583249096434,Short
103,205,1,-75.5697882,6.23084439,-75.56783736,6.248924017,MIDDAY,La Candelaria,La Candelaria,2.021894774763939,Short
102,223,1,-75.56150774,6.251117415,-75.56115287,6.265882567,MIDDAY,La Candelaria,Aranjuez,1.6422784848487015,Short
112,200,1,-75.56686843,6.236241686,-75.5722968,6.253891107,MIDDAY,La Candelaria,La Candelaria,2.052203414419599,Short
103,1,1,-75.5697882,6.23084439,-75.55807279,6.203209732,MIDDAY,La Candelaria,El Poblado,3.334579021240382,Short
3,5,1,-75.53176288,6.230486006,-75.52633258,6.235030016,MIDDAY,Villa Hermosa,Villa Hermosa,0.7846030123550236,Short
1,3,1,-75.55931263,6.198714745,-75.58142249,6.200991338,MIDDAY,El Poblado,Guayabal,2.4571996269789307,Short
0,3,11,-75.57921722,6.260332292,-75.58142249,6.200991338,OFF_PEAK,La Candelaria,Guayabal,6.602914243528747,Medium
109,1,1,-75.57181869,6.261866639,-75.55807279,6.203209732,OFF_PEAK,La Candelaria,El Poblado,6.696995903567258,Medium
112,0,9,-75.56686843,6.236241686,-75.58057905,6.261773129,OFF_PEAK,La Candelaria,Robledo,3.2181441475242765,Short
114,223,1,-75.60089701,6.252544383,-75.56115287,6.265882567,OFF_PEAK,La America,Aranjuez,4.636611669157672,Short
