,comuna_o,municipio_o,comuna_d,municipio_d,hora_o,hora_d,modo_tte,motivo_viaje,o_long,o_lat,d_long,d_lat
504,Suba,Bogotá,Suba,Bogotá,18:15:00,19:15:00,MOTO,Casa,-74.08946042,4.710525244,-74.06030174,4.784500615
505,Suba,Bogotá,Fontibon,Bogotá,06:00:00,07:30:00,MOTO,Trabajo,-74.04304807,4.785791124,-74.14611711,4.686217462
506,Fontibon,Bogotá,Suba,Bogotá,18:30:00,19:45:00,MOTO,Casa,-74.1459359,4.689903663,-74.10417428,4.728944596
507,Suba,Bogotá,Suba,Bogotá,05:30:00,06:15:00,MOTO,Estudio,-74.10568485,4.775117558,-74.07310401,4.721800535
508,Suba,Bogotá,Suba,Bogotá,18:15:00,19:15:00,MOTO,Casa,-74.04391633,4.776069788,-74.07696571,4.707962344
509,Ciudad Bolivar,Bogotá,Antonio Nariño,Bogotá,06:30:00,07:00:00,MOTO,Trabajo,-74.15754531,4.4196705,-74.09608143,4.579668126
510,Antonio Nariño,Bogotá,Ciudad Bolivar,Bogotá,19:00:00,19:30:00,MOTO,Casa,-74.09850549,4.583729231,-74.19389912,4.402285271
511,Kennedy,Bogotá,Chapinero,Bogotá,07:30:00,08:40:12,MOTO,Trabajo,-74.12165548,4.633877766,-74.0465861,4.664202693
512,Chapinero,Bogotá,Kennedy,Bogotá,16:30:00,17:40:12,MOTO,Casa,-73.99927688,4.625230628,-74.13961599,4.627917177
513,Kennedy,Bogotá,Fontibon,Bogotá,06:00:00,06:40:12,MOTO,Trabajo,-74.18108484,4.644731409,-74.14098666,4.694238388
514,Fontibon,Bogotá,Kennedy,Bogotá,18:00:00,19:00:00,MOTO,Casa,-74.14712358,4.695233972,-74.12081652,4.636314582
515,San Cristóbal,Bogotá,San Cristóbal,Bogotá,06:30:00,06:49:48,MOTO,Diligencia,-74.04895292,4.535891782,-74.08201442,4.541079008
516,San Cristóbal,Bogotá,San Cristóbal,Bogotá,08:40:12,09:00:00,MOTO,Casa,-74.05693181,4.510270344,-74.07098742,4.571248633
517,San Cristóbal,Bogotá,Antonio Nariño,Bogotá,05:30:00,06:00:00,MOTO,Trabajo,-74.09803514,4.543343706,-74.11400964,4.58979403
518,Antonio Nariño,Bogotá,San Cristóbal,Bogotá,15:00:00,15:30:00,MOTO,Casa,-74.0944754,4.591779525,-74.09245172,4.55106582
519,Usme,Bogotá,Fontibon,Bogotá,05:00:00,06:00:00,MOTO,Trabajo,-74.14191645,4.381440411,-74.14400558,4.704380789
520,Fontibon,Bogotá,Usme,Bogotá,17:00:00,18:00:00,MOTO,Casa,-74.13382262,4.70019301,-74.10165508,4.506377278
521,Usme,Bogotá,Fontibon,Bogotá,06:00:00,07:03:00,MOTO,Trabajo,-74.12581894,4.451002179,-74.12109964,4.688753311
522,Fontibon,Bogotá,Usme,Bogotá,18:00:00,19:03:00,MOTO,Casa,-74.12963386,4.69177321,-74.13476911,4.428649122
