,comuna_o,municipio_o,comuna_d,municipio_d,hora_o,hora_d,modo_tte,motivo_viaje,o_long,o_lat,d_long,d_lat
0,Ciudad Bolivar,Bogotá,Bosa,Bogotá,08:00:00,08:45:00,MOTO,Trabajo,-74.13043078,4.508805134,-74.19009054,4.614210468
1,Bosa,Bogotá,Ciudad Bolivar,Bogotá,18:15:00,19:00:00,MOTO,Casa,-74.1842359,4.613278691,-74.15451083,4.389553082
2,Bosa,Bogotá,Kennedy,Bogotá,08:00:00,08:45:00,MOTO,Alguien,-74.20610961,4.64587497,-74.15881792,4.645376957
3,Kennedy,Bogotá,Bosa,Bogotá,09:52:12,10:37:12,MOTO,Casa,-74.15354914,4.608778197,-74.19223221,4.613151744
4,Bosa,Bogotá,Kennedy,Bogotá,08:00:00,08:45:00,MOTO,Trabajo,-74.17781102,4.601912788,-74.14953569,4.637946994
5,Puente Aranda,Bogotá,Santa Fe,Bogotá,08:00:00,09:00:00,MOTO,Trabajo,-74.09386564,4.613029029,-74.0489416,4.596494196
6,Santa Fe,Bogotá,Puente Aranda,Bogotá,16:00:00,17:00:00,MOTO,Casa,-74.04986958,4.60731034,-74.12112542,4.599612553
7,Teusaquillo,Bogotá,Chapinero,Bogotá,07:19:48,07:45:00,MOTO,Trabajo,-74.09005111,4.649210764,-74.0440879,4.634237975
8,Chapinero,Bogotá,Teusaquillo,Bogotá,16:03:00,16:28:12,MOTO,Casa,-74.01828546,4.615343576,-74.09213074,4.626913158
9,Engativa,Bogotá,Barrios Unidos,Bogotá,07:00:00,07:15:00,MOTO,Trabajo,-74.12122622,4.70122605,-74.07942912,4.662249606
10,Barrios Unidos,Bogotá,Engativa,Bogotá,17:00:00,17:15:00,MOTO,Casa,-74.08026199,4.654098687,-74.1378123,4.717251603
11,Engativa,Bogotá,Barrios Unidos,Bogotá,07:00:00,07:15:00,MOTO,Trabajo,-74.09416536,4.669441797,-74.06659598,4.665516139
12,Barrios Unidos,Bogotá,Engativa,Bogotá,17:45:00,18:00:00,MOTO,Casa,-74.07316896,4.675892742,-74.09265158,4.709868087
13,Ciudad Bolivar,Bogotá,Kennedy,Bogotá,06:30:00,07:30:00,MOTO,Trabajo,-74.18717205,4.418968225,-74.1790642,4.638046968
14,Kennedy,Bogotá,Ciudad Bolivar,Bogotá,17:40:12,18:40:12,MOTO,Casa,-74.13512458,4.644846232,-74.14445485,4.454628284
15,Rafael Uribe Uribe,Bogotá,Rafael Uribe Uribe,Bogotá,08:00:00,08:19:48,MOTO,Trabajo,-74.10095783,4.57187577,-74.11897006,4.544585846
16,San Cristóbal,Bogotá,Rafael Uribe Uribe,Bogotá,07:07:12,10:09:00,MOTO,Trabajo,-74.07095159,4.573182914,-74.12399035,4.574785569
17,Rafael Uribe Uribe,Bogotá,San Cristóbal,Bogotá,12:07:48,15:10:12,MOTO,Casa,-74.11185297,4.567104978,-74.09375699,4.551730771
18,Suba,Bogotá,Suba,Bogotá,06:00:00,06:45:00,MOTO,Alguien,-74.12656169,4.740834155,-74.07061368,4.707476857
19,Suba,Bogotá,Teusaquillo,Bogotá,06:46:48,07:45:00,MOTO,Trabajo,-74.06003223,4.798233568,-74.10160005,4.648506933
20,Teusaquillo,Bogotá,Suba,Bogotá,20:00:00,21:00:00,MOTO,Casa,-74.07846651,4.64993641,-74.05609516,4.745309969
21,Suba,Bogotá,Suba,Bogotá,06:00:00,06:45:00,MOTO,Estudio,-74.06405568,4.785564754,-74.11962404,4.742338898
22,Ciudad Bolivar,Bogotá,Kennedy,Bogotá,09:30:00,10:01:48,MOTO,Diligencia,-74.17936254,4.436963979,-74.12904256,4.635306654
23,Kennedy,Bogotá,Ciudad Bolivar,Bogotá,11:03:00,12:30:00,MOTO,Casa,-74.13937333,4.630325313,-74.19791876,4.404694918
24,Fontibon,Bogotá,Fontibon,Bogotá,07:00:00,08:00:00,MOTO,Trabajo,-74.12708459,4.684498779,-74.14536553,4.683744906
25,Fontibon,Bogotá,Fontibon,Bogotá,19:00:00,19:51:00,MOTO,Casa,-74.13813712,4.682363706,-74.12927129,4.673639908
26,Usme,Bogotá,Santa Fe,Bogotá,09:00:00,10:00:00,MOTO,Recreacion,-74.1474644,4.309112104,-74.01348027,4.587491768
27,Santa Fe,Bogotá,Usme,Bogotá,13:00:00,14:00:00,MOTO,Casa,-74.05044384,4.583374264,-74.1168493,4.533795458
28,San Cristóbal,Bogotá,Barrios Unidos,Bogotá,06:00:00,07:15:00,MOTO,Trabajo,-74.04856378,4.567754859,-74.06596058,4.681396017
29,Barrios Unidos,Bogotá,Chapinero,Bogotá,10:00:00,10:40:12,MOTO,Estudio,-74.0702576,4.686147213,-74.00818202,4.624529354
30,Chapinero,Bogotá,Barrios Unidos,Bogotá,13:00:00,14:00:00,MOTO,Trabajo,-74.03439246,4.622216779,-74.08400282,4.655356515
31,Barrios Unidos,Bogotá,San Cristóbal,Bogotá,21:00:00,21:45:00,MOTO,Casa,-74.07962991,4.658891254,-74.07111692,4.546742507
32,Usme,Bogotá,Ciudad Bolivar,Bogotá,07:00:00,08:00:00,MOTO,Trabajo,-74.11424167,4.533512024,-74.12537757,4.481890156
33,Ciudad Bolivar,Bogotá,Usme,Bogotá,14:30:00,15:30:00,MOTO,Casa,-74.17159769,4.496897984,-74.13057442,4.37345575
34,San Cristóbal,Bogotá,Rafael Uribe Uribe,Bogotá,19:00:00,19:30:00,MOTO,Trabajo,-74.07221103,4.576086056,-74.1045491,4.572693556
35,Barrios Unidos,Bogotá,Chapinero,Bogotá,22:30:00,23:00:00,MOTO,Casa,-74.09019168,4.663604409,-74.019469,4.624252578
36,Chapinero,Bogotá,Chapinero,Bogotá,16:15:00,17:52:48,MOTO,Casa,-74.05507207,4.648343464,-74.04332337,4.652271576
37,Rafael Uribe Uribe,Bogotá,Puente Aranda,Bogotá,15:03:00,15:42:00,MOTO,Trabajo,-74.11207074,4.559365245,-74.12240399,4.621301745
38,Suba,Bogotá,Suba,Bogotá,15:00:00,15:19:48,MOTO,Diligencia,-74.0654923,4.797410321,-74.04619913,4.773768198
39,Suba,Bogotá,Suba,Bogotá,09:00:00,09:19:48,MOTO,Diligencia,-74.06611667,4.716002481,-74.0436763,4.800467674
40,Suba,Bogotá,Suba,Bogotá,12:04:48,12:25:12,MOTO,Casa,-74.12059622,4.756954464,-74.09551137,4.793736214
41,Santa Fe,Bogotá,Chapinero,Bogotá,04:30:00,05:45:00,MOTO,Trabajo,-74.01864133,4.604572928,-74.04245773,4.665230368
42,Chapinero,Bogotá,Santa Fe,Bogotá,16:12:00,17:12:00,MOTO,Casa,-74.0532082,4.626761587,-74.00897099,4.597667546
43,Fontibon,Bogotá,Fontibon,Bogotá,05:00:00,05:30:00,MOTO,Trabajo,-74.13056808,4.693074048,-74.12167945,4.644243321
44,Fontibon,Bogotá,Los Martires,Bogotá,04:00:00,05:00:00,MOTO,Trabajo,-74.12547345,4.657336613,-74.08214918,4.603817157
45,Kennedy,Bogotá,Los Martires,Bogotá,08:00:00,08:34:48,MOTO,Trabajo,-74.12940866,4.648453228,-74.08821177,4.615730055
46,Los Martires,Bogotá,Kennedy,Bogotá,16:30:00,17:10:12,MOTO,Casa,-74.08362768,4.61977348,-74.12740683,4.633522497
47,Fontibon,Bogotá,Usaquen,Bogotá,07:00:00,07:30:00,MOTO,Trabajo,-74.13389841,4.67442398,-74.04120012,4.699926701
48,Usaquen,Bogotá,Fontibon,Bogotá,18:10:12,18:40:12,MOTO,Casa,-74.05095633,4.707995398,-74.13493598,4.689150831
49,Tunjuelito,Bogotá,San Cristóbal,Bogotá,12:00:00,14:00:00,MOTO,Trabajo,-74.14122759,4.573165046,-74.09444809,4.56519097
50,San Cristóbal,Bogotá,Tunjuelito,Bogotá,18:00:00,20:19:48,MOTO,Casa,-74.06023274,4.530080497,-74.12668288,4.567954717
51,Bosa,Bogotá,Engativa,Bogotá,07:00:00,08:00:00,MOTO,Trabajo,-74.19011009,4.632187933,-74.09954641,4.661894433
52,Engativa,Bogotá,Bosa,Bogotá,16:30:00,17:30:00,MOTO,Casa,-74.11230729,4.717119057,-74.21982483,4.628582104
53,Kennedy,Bogotá,Teusaquillo,Bogotá,06:30:00,07:48:00,MOTO,Trabajo,-74.1470746,4.652336431,-74.0930219,4.651443481
54,Teusaquillo,Bogotá,Kennedy,Bogotá,16:12:00,17:30:00,MOTO,Casa,-74.08284948,4.639928451,-74.1601081,4.654151842
55,Antonio Nariño,Bogotá,Candelaria,Bogotá,09:07:12,09:25:48,MOTO,Trabajo,-74.10231328,4.593096687,-74.07740486,4.593777714
56,Kennedy,Bogotá,Candelaria,Bogotá,06:00:00,06:40:12,MOTO,Trabajo,-74.13852256,4.597172623,-74.06499967,4.600314951
57,Candelaria,Bogotá,Kennedy,Bogotá,12:04:48,12:40:12,MOTO,Casa,-74.08019086,4.592438464,-74.16006156,4.61067741
58,Kennedy,Bogotá,Candelaria,Bogotá,18:00:00,18:40:12,MOTO,Estudio,-74.15378581,4.65786378,-74.07256408,4.598550943
59,Candelaria,Bogotá,Kennedy,Bogotá,22:34:48,23:30:00,MOTO,Casa,-74.07162564,4.595550592,-74.16884045,4.643942825
60,Kennedy,Bogotá,Kennedy,Bogotá,12:15:00,12:40:12,MOTO,Trabajo,-74.16571685,4.630887536,-74.1592422,4.650646216
61,Kennedy,Bogotá,Kennedy,Bogotá,12:15:00,12:40:12,MOTO,Alguien,-74.13551899,4.626087687,-74.13369503,4.607722674
62,Kennedy,Bogotá,Kennedy,Bogotá,12:43:12,12:49:48,MOTO,Casa,-74.130217,4.611879594,-74.14488296,4.632909271
63,Puente Aranda,Bogotá,Chapinero,Bogotá,13:00:00,13:40:12,MOTO,Trabajo,-74.10477711,4.616516643,-74.05217969,4.659869525
64,Chapinero,Bogotá,Puente Aranda,Bogotá,22:19:48,23:00:00,MOTO,Casa,-74.02988088,4.656415143,-74.09413507,4.621878506
65,Tunjuelito,Bogotá,Ciudad Bolivar,Bogotá,08:00:00,08:10:12,MOTO,Estudio,-74.12990097,4.578677444,-74.12335597,4.494049167
66,Ciudad Bolivar,Bogotá,Tunjuelito,Bogotá,09:00:00,09:10:12,MOTO,Casa,-74.1452506,4.45020855,-74.13637487,4.588025602
67,Bosa,Bogotá,Los Martires,Bogotá,05:10:48,05:55:12,MOTO,Trabajo,-74.18504698,4.613370962,-74.08182836,4.618334916
68,Los Martires,Bogotá,Bosa,Bogotá,18:00:00,19:33:00,MOTO,Casa,-74.07717877,4.610201213,-74.19409566,4.63228669
69,Fontibon,Bogotá,Kennedy,Bogotá,06:00:00,06:28:12,MOTO,Trabajo,-74.17044833,4.70172129,-74.1543285,4.618922179
70,Kennedy,Bogotá,Fontibon,Bogotá,18:31:48,19:00:00,MOTO,Casa,-74.14225173,4.636377609,-74.12996651,4.660549064
71,Tunjuelito,Bogotá,Los Martires,Bogotá,08:00:00,08:30:00,MOTO,Trabajo,-74.12866311,4.566079735,-74.08579484,4.597934531
72,Los Martires,Bogotá,Tunjuelito,Bogotá,12:55:12,13:25:12,MOTO,Casa,-74.09186725,4.613480434,-74.13354036,4.576333149
73,Kennedy,Bogotá,Fontibon,Bogotá,02:04:48,02:15:00,MOTO,Trabajo,-74.14756086,4.647468718,-74.15180749,4.67184123
74,Fontibon,Bogotá,Kennedy,Bogotá,09:00:00,10:22:48,MOTO,Casa,-74.16777306,4.678325534,-74.1492393,4.657115505
75,Kennedy,Bogotá,Kennedy,Bogotá,17:30:00,18:00:00,MOTO,Trabajo,-74.13728618,4.626308122,-74.14001784,4.622516313
76,Kennedy,Bogotá,Kennedy,Bogotá,23:00:00,23:30:00,MOTO,Casa,-74.17349782,4.645945131,-74.14080821,4.599222407
77,Kennedy,Bogotá,Usaquen,Bogotá,04:30:00,05:15:00,MOTO,Trabajo,-74.14219822,4.625017278,-74.04062277,4.780961686
78,Usaquen,Bogotá,Kennedy,Bogotá,16:45:00,17:30:00,MOTO,Casa,-74.01710878,4.764133532,-74.14173131,4.65468478
79,San Cristóbal,Bogotá,Teusaquillo,Bogotá,06:30:00,08:00:00,MOTO,Trabajo,-74.06260115,4.558842013,-74.10697502,4.645091839
80,Teusaquillo,Bogotá,San Cristóbal,Bogotá,17:00:00,18:30:00,MOTO,Casa,-74.0968785,4.648588335,-74.06069203,4.571690273
81,Ciudad Bolivar,Bogotá,Teusaquillo,Bogotá,06:00:00,07:45:00,MOTO,Trabajo,-74.17811591,4.500648316,-74.09861136,4.65768691
82,Teusaquillo,Bogotá,Ciudad Bolivar,Bogotá,17:15:00,19:00:00,MOTO,Casa,-74.09435788,4.648961616,-74.14044374,4.520871409
83,Ciudad Bolivar,Bogotá,Teusaquillo,Bogotá,06:00:00,07:55:12,MOTO,Trabajo,-74.15978286,4.595848491,-74.08365677,4.627777061
84,Teusaquillo,Bogotá,Ciudad Bolivar,Bogotá,17:04:48,19:00:00,MOTO,Casa,-74.06820566,4.638233123,-74.15672823,4.554709801
85,Antonio Nariño,Bogotá,Suba,Bogotá,15:31:12,16:30:00,MOTO,Diligencia,-74.08959023,4.589494374,-74.06000217,4.718475024
86,Suba,Bogotá,Antonio Nariño,Bogotá,16:39:00,17:28:48,MOTO,Casa,-74.05391023,4.716233079,-74.09666907,4.590254619
87,Kennedy,Bogotá,Suba,Bogotá,05:00:00,06:30:00,MOTO,Trabajo,-74.16498204,4.654472331,-74.07389264,4.77927622
88,Suba,Bogotá,Kennedy,Bogotá,16:00:00,19:00:00,MOTO,Casa,-74.07716233,4.788130026,-74.16164947,4.607444587
89,Engativa,Bogotá,Chapinero,Bogotá,07:00:00,07:45:00,MOTO,Trabajo,-74.11998929,4.71164198,-74.06345128,4.647325623
90,Chapinero,Bogotá,Engativa,Bogotá,16:00:00,16:49:48,MOTO,Casa,-74.06213982,4.655746102,-74.09287654,4.677910269
91,San Cristóbal,Bogotá,Santa Fe,Bogotá,03:30:00,05:30:00,MOTO,Trabajo,-74.05811982,4.55906263,-74.01683076,4.599652518
92,Santa Fe,Bogotá,San Cristóbal,Bogotá,17:30:00,19:30:00,MOTO,Casa,-74.01075185,4.601881164,-74.08632198,4.571482556
93,Puente Aranda,Bogotá,Usaquen,Bogotá,06:00:00,06:45:00,MOTO,Estudio,-74.1148252,4.61808378,-74.01222582,4.809308176
94,Usaquen,Bogotá,Puente Aranda,Bogotá,15:15:00,16:00:00,MOTO,Casa,-74.03397679,4.680714193,-74.10020058,4.609335523
95,Ciudad Bolivar,Bogotá,Fontibon,Bogotá,05:19:48,06:00:00,MOTO,Trabajo,-74.17520254,4.503109713,-74.16246735,4.688270443
96,Fontibon,Bogotá,Ciudad Bolivar,Bogotá,10:49:48,11:30:00,MOTO,Casa,-74.12086193,4.642458526,-74.17121485,4.438370436
97,Ciudad Bolivar,Bogotá,Puente Aranda,Bogotá,11:30:00,12:10:12,MOTO,Trabajo,-74.16808897,4.505712397,-74.10475112,4.638315911
98,Puente Aranda,Bogotá,Ciudad Bolivar,Bogotá,22:49:48,23:30:00,MOTO,Casa,-74.11957559,4.609202725,-74.17651695,4.393245632
99,Usme,Bogotá,Kennedy,Bogotá,06:22:12,08:00:00,MOTO,Trabajo,-74.14889192,4.352799412,-74.13606468,4.621103162
100,Ciudad Bolivar,Bogotá,Antonio Nariño,Bogotá,17:00:00,18:00:00,MOTO,Estudio,-74.1552323,4.424880107,-74.11427436,4.590904035
101,Antonio Nariño,Bogotá,Ciudad Bolivar,Bogotá,22:00:00,23:00:00,MOTO,Casa,-74.09435239,4.593136214,-74.15683814,4.532337527
102,Ciudad Bolivar,Bogotá,Antonio Nariño,Bogotá,18:30:00,19:19:48,MOTO,Salud,-74.15571848,4.460229817,-74.09733349,4.589869793
103,Antonio Nariño,Bogotá,Ciudad Bolivar,Bogotá,19:40:12,20:30:00,MOTO,Casa,-74.10405509,4.592736633,-74.18328618,4.522852337
104,Bosa,Bogotá,Bosa,Bogotá,06:00:00,06:15:00,MOTO,Alguien,-74.2054317,4.626772757,-74.18700002,4.604324124
105,Bosa,Bogotá,Bosa,Bogotá,06:15:00,06:30:00,MOTO,Casa,-74.20039829,4.601628442,-74.20564568,4.619224216
106,Bosa,Bogotá,Bosa,Bogotá,06:00:00,06:15:00,MOTO,Estudio,-74.22023724,4.624324513,-74.20223667,4.63198226
107,Bosa,Bogotá,Bosa,Bogotá,12:15:00,12:30:00,MOTO,Casa,-74.1961893,4.602381225,-74.19500935,4.619977392
108,Kennedy,Bogotá,Kennedy,Bogotá,06:15:00,07:30:00,MOTO,Trabajo,-74.13923492,4.622944377,-74.15192855,4.65788905
109,Kennedy,Bogotá,Kennedy,Bogotá,17:15:00,18:34:48,MOTO,Casa,-74.15135146,4.630551443,-74.14544359,4.653250069
110,Puente Aranda,Bogotá,Bosa,Bogotá,10:00:00,10:30:00,MOTO,Diligencia,-74.12513387,4.618242866,-74.18753204,4.613213145
111,Bosa,Bogotá,Usme,Bogotá,10:40:12,11:40:12,MOTO,Trabajo,-74.18741706,4.620625163,-74.17287242,4.318515364
112,Usme,Bogotá,Puente Aranda,Bogotá,17:00:00,20:30:00,MOTO,Alguien,-74.1263405,4.396491184,-74.11375554,4.625182467
113,Puente Aranda,Bogotá,Puente Aranda,Bogotá,20:58:12,21:03:00,MOTO,Casa,-74.13645146,4.595509519,-74.10335524,4.635885247
114,Puente Aranda,Bogotá,Fontibon,Bogotá,13:30:00,13:49:48,MOTO,Trabajo,-74.111929,4.618037238,-74.12238609,4.690927472
115,Fontibon,Bogotá,Puente Aranda,Bogotá,22:00:00,22:40:12,MOTO,Casa,-74.15950407,4.688465529,-74.11859031,4.606680626
116,San Cristóbal,Bogotá,Candelaria,Bogotá,12:16:48,13:04:48,MOTO,Trabajo,-74.0998107,4.563167179,-74.07491787,4.598235711
117,Engativa,Bogotá,Santa Fe,Bogotá,09:00:00,10:30:00,MOTO,Trabajo,-74.1043779,4.657032239,-74.05793413,4.614636018
118,Santa Fe,Bogotá,Engativa,Bogotá,17:49:48,19:19:48,MOTO,Casa,-74.05224427,4.605068585,-74.08057075,4.688995662
119,Engativa,Bogotá,Santa Fe,Bogotá,17:30:00,18:01:12,MOTO,Estudio,-74.11056793,4.70127974,-74.03737247,4.577074816
120,Santa Fe,Bogotá,Engativa,Bogotá,21:13:48,22:03:00,MOTO,Casa,-74.05525878,4.619472481,-74.11734599,4.724473165
121,Ciudad Bolivar,Bogotá,Kennedy,Bogotá,17:00:00,17:49:48,MOTO,Trabajo,-74.15430852,4.47084115,-74.16068304,4.646617951
122,Puente Aranda,Bogotá,Los Martires,Bogotá,14:00:00,14:30:00,MOTO,Diligencia,-74.09071088,4.621233293,-74.08694901,4.618023985
123,Los Martires,Bogotá,Puente Aranda,Bogotá,15:10:12,15:40:12,MOTO,Casa,-74.08769364,4.602287763,-74.10393085,4.607808954
124,Chapinero,Bogotá,Suba,Bogotá,15:06:00,16:25:12,MOTO,Casa,-74.03247314,4.663990821,-74.06914045,4.753929479
125,Santa Fe,Bogotá,Puente Aranda,Bogotá,06:00:00,06:49:48,MOTO,Trabajo,-74.01255126,4.609588836,-74.11653001,4.63473084
126,Puente Aranda,Bogotá,Santa Fe,Bogotá,18:00:00,19:15:00,MOTO,Casa,-74.10422244,4.638440592,-74.04614661,4.59691691
127,Ciudad Bolivar,Bogotá,Tunjuelito,Bogotá,06:01:12,07:00:00,MOTO,Salud,-74.15104475,4.542489076,-74.13839879,4.589746535
128,Tunjuelito,Bogotá,Teusaquillo,Bogotá,07:00:00,10:00:00,MOTO,Salud,-74.1358423,4.58049128,-74.07333721,4.622855243
129,Teusaquillo,Bogotá,Ciudad Bolivar,Bogotá,10:13:12,10:58:12,MOTO,Casa,-74.07167899,4.643486048,-74.16825563,4.54798648
130,Ciudad Bolivar,Bogotá,Antonio Nariño,Bogotá,06:15:00,06:30:00,MOTO,Salud,-74.18226493,4.432361267,-74.0948951,4.577512443
131,Antonio Nariño,Bogotá,Ciudad Bolivar,Bogotá,17:45:00,18:00:00,MOTO,Casa,-74.10623554,4.596723185,-74.18316076,4.406216831
132,Engativa,Bogotá,Engativa,Bogotá,10:00:00,10:15:00,MOTO,Trabajo,-74.1198237,4.693556347,-74.08227473,4.690778507
133,Engativa,Bogotá,Engativa,Bogotá,12:00:00,12:15:00,MOTO,Casa,-74.11464308,4.68909396,-74.11680638,4.689578352
134,Rafael Uribe Uribe,Bogotá,Rafael Uribe Uribe,Bogotá,10:00:00,10:19:48,MOTO,Diligencia,-74.1180025,4.543303549,-74.12975754,4.584048065
135,Rafael Uribe Uribe,Bogotá,Rafael Uribe Uribe,Bogotá,13:10:12,13:25:12,MOTO,Casa,-74.11542651,4.547232101,-74.11347478,4.553165268
136,Ciudad Bolivar,Bogotá,Chapinero,Bogotá,05:30:00,06:30:00,MOTO,Trabajo,-74.19704373,4.410687579,-74.04096337,4.612897408
137,Chapinero,Bogotá,Ciudad Bolivar,Bogotá,18:04:48,19:04:48,MOTO,Casa,-73.99923765,4.620854771,-74.17387916,4.445377869
138,Engativa,Bogotá,Barrios Unidos,Bogotá,06:00:00,07:40:12,MOTO,Trabajo,-74.14492047,4.7254919,-74.06667765,4.66277589
139,Barrios Unidos,Bogotá,Engativa,Bogotá,15:19:48,17:00:00,MOTO,Casa,-74.07866717,4.671829291,-74.09390739,4.693019195
140,Ciudad Bolivar,Bogotá,Ciudad Bolivar,Bogotá,04:30:00,06:00:00,MOTO,Trabajo,-74.13133392,4.47511231,-74.14862913,4.472781946
141,Ciudad Bolivar,Bogotá,Ciudad Bolivar,Bogotá,19:30:00,21:00:00,MOTO,Casa,-74.20444729,4.387486208,-74.19052456,4.387481865
142,Ciudad Bolivar,Bogotá,Chapinero,Bogotá,04:40:12,07:00:00,MOTO,Trabajo,-74.15584217,4.415568206,-74.01450197,4.630337593
143,Chapinero,Bogotá,Ciudad Bolivar,Bogotá,16:49:48,19:10:12,MOTO,Casa,-74.03722828,4.674472042,-74.16675729,4.564503406
144,Fontibon,Bogotá,Suba,Bogotá,15:10:12,15:34:48,MOTO,Recreacion,-74.1152272,4.662785913,-74.09399013,4.734419268
145,Engativa,Bogotá,Chapinero,Bogotá,07:19:48,07:52:48,MOTO,Trabajo,-74.08832769,4.700232896,-74.04244575,4.678612571
146,Chapinero,Bogotá,Engativa,Bogotá,17:13:12,18:00:00,MOTO,Casa,-74.06396561,4.643807164,-74.12507983,4.702712231
147,Engativa,Bogotá,Fontibon,Bogotá,06:30:00,07:06:00,MOTO,Trabajo,-74.11251506,4.696762111,-74.13224814,4.660137324
148,Fontibon,Bogotá,Engativa,Bogotá,16:19:48,16:55:48,MOTO,Casa,-74.11409104,4.657345795,-74.11553242,4.700257638
149,Kennedy,Bogotá,Suba,Bogotá,08:30:00,10:01:12,MOTO,Estudio,-74.18223263,4.618690692,-74.06382018,4.692384932
150,Suba,Bogotá,Kennedy,Bogotá,19:00:00,20:45:00,MOTO,Casa,-74.05944468,4.74328349,-74.13936038,4.657802605
151,Suba,Bogotá,Suba,Bogotá,06:00:00,07:00:00,MOTO,Trabajo,-74.06428588,4.735331605,-74.05834209,4.759385877
152,Suba,Bogotá,Suba,Bogotá,17:00:00,18:00:00,MOTO,Casa,-74.05288503,4.826764537,-74.05898592,4.748811482
153,Ciudad Bolivar,Bogotá,Engativa,Bogotá,14:00:00,14:40:12,MOTO,Diligencia,-74.1402101,4.507898748,-74.09174609,4.707355042
154,Engativa,Bogotá,Chapinero,Bogotá,06:40:12,07:10:12,MOTO,Estudio,-74.11673861,4.675074623,-74.05057311,4.630515529
155,Chapinero,Bogotá,Engativa,Bogotá,13:00:00,13:30:00,MOTO,Casa,-74.05449179,4.679303695,-74.12049591,4.70797505
156,Engativa,Bogotá,Chapinero,Bogotá,06:40:12,07:15:00,MOTO,Estudio,-74.1409862,4.724362404,-74.02921919,4.628935715
157,Ciudad Bolivar,Bogotá,Engativa,Bogotá,14:00:00,15:30:00,MOTO,Salud,-74.16784568,4.394357899,-74.13279663,4.725421235
158,Kennedy,Bogotá,Candelaria,Bogotá,07:30:00,08:10:12,MOTO,Trabajo,-74.14324686,4.641856034,-74.07017983,4.599076119
159,Candelaria,Bogotá,Kennedy,Bogotá,19:19:48,20:00:00,MOTO,Casa,-74.06840371,4.59609168,-74.16664169,4.653207907
160,Bosa,Bogotá,Barrios Unidos,Bogotá,07:30:00,08:30:00,MOTO,Trabajo,-74.19873792,4.646808344,-74.07860093,4.674435377
161,Barrios Unidos,Bogotá,Bosa,Bogotá,18:30:00,19:30:00,MOTO,Casa,-74.06689411,4.684357336,-74.19408192,4.629397837
162,San Cristóbal,Bogotá,Ciudad Bolivar,Bogotá,12:46:12,12:55:12,MOTO,Casa,-74.05908015,4.572741411,-74.15036158,4.414367942
163,Puente Aranda,Bogotá,Usme,Bogotá,18:40:12,20:00:00,MOTO,Casa,-74.12167961,4.626494375,-74.13228636,4.444185824
164,Usaquen,Bogotá,Chapinero,Bogotá,07:00:00,07:40:12,MOTO,Trabajo,-74.00642476,4.671101533,-74.05378634,4.662071161
165,Chapinero,Bogotá,Usaquen,Bogotá,15:19:48,16:00:00,MOTO,Casa,-74.04988623,4.663407181,-74.02173811,4.75387812
166,Rafael Uribe Uribe,Bogotá,Puente Aranda,Bogotá,05:00:00,05:30:00,MOTO,Diligencia,-74.11756555,4.554065196,-74.09832134,4.60822924
167,Puente Aranda,Bogotá,Rafael Uribe Uribe,Bogotá,06:10:12,06:34:48,MOTO,Casa,-74.11711536,4.619138719,-74.10183184,4.575452019
168,Rafael Uribe Uribe,Bogotá,Los Martires,Bogotá,05:49:48,06:10:12,MOTO,Diligencia,-74.12189898,4.55845308,-74.09227727,4.609308246
169,Los Martires,Bogotá,Rafael Uribe Uribe,Bogotá,07:10:12,07:34:48,MOTO,Casa,-74.08150781,4.619598695,-74.12540718,4.581982369
170,Ciudad Bolivar,Bogotá,Ciudad Bolivar,Bogotá,06:30:00,06:45:00,MOTO,Trabajo,-74.16016398,4.478001315,-74.12931075,4.510196305
171,Ciudad Bolivar,Bogotá,Ciudad Bolivar,Bogotá,18:00:00,18:15:00,MOTO,Casa,-74.1483342,4.514052856,-74.19035035,4.396853613
172,Ciudad Bolivar,Bogotá,Puente Aranda,Bogotá,05:30:00,06:15:00,MOTO,Trabajo,-74.17150378,4.53148355,-74.10615372,4.636114303
173,Puente Aranda,Bogotá,Ciudad Bolivar,Bogotá,15:15:00,16:00:00,MOTO,Casa,-74.121224,4.599710039,-74.16610281,4.543160418
174,Kennedy,Bogotá,Chapinero,Bogotá,09:00:00,09:55:12,MOTO,Trabajo,-74.13399056,4.622420932,-74.03335906,4.625287756
175,Chapinero,Bogotá,Kennedy,Bogotá,19:00:00,20:45:00,MOTO,Casa,-74.06129793,4.628386347,-74.16055359,4.629842177
176,Bosa,Bogotá,Kennedy,Bogotá,07:00:00,07:40:12,MOTO,Trabajo,-74.20463495,4.630707647,-74.1602729,4.661758283
177,Kennedy,Bogotá,Bosa,Bogotá,10:45:00,12:00:00,MOTO,Recreacion,-74.13149146,4.608773521,-74.19910584,4.616934748
178,Bosa,Bogotá,Kennedy,Bogotá,12:07:12,13:12:00,MOTO,Trabajo,-74.19377463,4.628418037,-74.17050884,4.626456818
179,Kennedy,Bogotá,Bosa,Bogotá,16:34:48,17:34:48,MOTO,Casa,-74.15902918,4.650776921,-74.1901858,4.605533202
180,Bosa,Bogotá,Kennedy,Bogotá,06:00:00,06:30:00,MOTO,Trabajo,-74.18299896,4.630981695,-74.15217116,4.630789204
181,Kennedy,Bogotá,Bosa,Bogotá,15:30:00,16:00:00,MOTO,Casa,-74.1484154,4.625292342,-74.20132151,4.646487632
182,San Cristóbal,Bogotá,Chapinero,Bogotá,11:00:00,12:30:00,MOTO,Estudio,-74.03276248,4.549862292,-74.02131072,4.620520402
