ORIGIN_MUNICIPIO,ORIGIN_COMUNA,ORIGIN_TIME,o_lat,o_long,DESTINATION_MUNICIPIO,DESTINATION_COMUNA,DESTINATION_TIME,d_lat,d_long,TRANSPORT_MODE_S1,TRIP_PURPOSE
Envigado,Zona 06,05:15:00,6.142528147,-75.57899312,Itagui,Itagui-Comuna 04,06:30:00,6.170209705,-75.61053123,Moto (Conductor),Trabajo
Itagui,Itagui-Comuna 04,13:00:00,6.187000961,-75.62323392,Envigado,Zona 06,14:00:00,6.187002371,-75.49405787,Moto (Conductor),Casa
Bello,Bello-Comuna 01,06:00:00,6.384752672,-75.58353654,Medellin,El Poblado,06:40:00,6.203426101,-75.56050177,Moto (Conductor),Trabajo
Medellin,El Poblado,17:00:00,6.211621708,-75.56965935,Medellin,La Candelaria,17:30:00,6.262790628,-75.56471443,Moto (Conductor),Diligencia
Medellin,La Candelaria,18:10:00,6.253591589,-75.5770242,Bello,Bello-Comuna 01,19:00:00,6.357890427,-75.58239343,Moto (Conductor),Casa
Bello,Bello-Comuna 11,06:30:00,6.349691962,-75.64586607,Medellin,El Poblado,07:00:00,6.195238534,-75.55797333,Moto (Conductor),Trabajo
Medellin,El Poblado,18:00:00,6.20845404,-75.56184051,Bello,Bello-Comuna 11,18:30:00,6.320233062,-75.54121952,Moto (Conductor),Casa
Bello,Bello-Comuna 02,08:00:00,6.333578778,-75.63825022,Medellin,Belen,09:00:00,6.233722926,-75.59563317,Moto (Conductor),Trabajo
Medellin,Belen,14:00:00,6.228118797,-75.61380604,Bello,Bello-Comuna 02,14:50:00,6.316231441,-75.5632023,Moto (Conductor),Casa
Bello,Bello-Comuna 01,10:00:00,6.321650816,-75.62339398,Bello,Bello-Comuna 08,10:30:00,6.338336415,-75.60705436,Moto (Conductor),Trabajo
Bello,Bello-Comuna 08,16:00:00,6.3553242,-75.54849554,Bello,Bello-Comuna 01,16:30:00,6.308860182,-75.53613558,Moto (Conductor),Casa
Bello,Bello-Comuna 01,06:45:00,6.318887785,-75.59950636,Bello,Bello-Comuna 02,07:00:00,6.376402339,-75.59560514,Moto (Conductor),Trabajo
Bello,Bello-Comuna 02,19:00:00,6.382837853,-75.62059969,Bello,Bello-Comuna 01,19:05:00,6.334461096,-75.61777808,Moto (Conductor),Casa
Bello,Bello-Comuna 01,07:00:00,6.311594788,-75.59492789,Medellin,El Poblado,08:00:00,6.208358668,-75.5747726,Moto (Conductor),Trabajo
Medellin,El Poblado,17:00:00,6.211016672,-75.55600482,Bello,Bello-Comuna 01,18:00:00,6.400738209,-75.58207758,Moto (Conductor),Casa
Envigado,Zona 07,07:30:00,6.131931579,-75.54395247,Medellin,El Poblado,08:00:00,6.185815028,-75.55549779,Moto (Conductor),Trabajo
Bello,Bello-Comuna 02,07:00:00,6.352485408,-75.59770788,Medellin,Guayabal,08:00:00,6.224944029,-75.58227143,Moto (Conductor),Trabajo
Medellin,Guayabal,17:00:00,6.219300794,-75.5887991,Bello,Bello-Comuna 02,18:00:00,6.37755408,-75.56254129,Moto (Conductor),Casa
Bello,Bello-Comuna 01,06:30:00,6.392461574,-75.59320746,Medellin,La Candelaria,07:00:00,6.246139715,-75.5612495,Moto (Conductor),Trabajo
Medellin,La Candelaria,18:00:00,6.260090377,-75.57017719,Bello,Bello-Comuna 01,18:45:00,6.334664929,-75.64813967,Moto (Conductor),Casa
Medellin,Castilla,08:00:00,6.28089964,-75.57158995,Bello,Bello-Comuna 01,08:30:00,6.325360623,-75.5438441,Moto (Conductor),Casa
Bello,Bello-Comuna 01,21:30:00,6.36206425,-75.54596429,Medellin,Castilla,21:50:00,6.308988974,-75.56263762,Moto (Conductor),Trabajo
Bello,Bello-Comuna 02,05:00:00,6.320437853,-75.55810832,Barbosa,Rural Barbosa,05:45:00,6.48769211,-75.34078651,Moto (Conductor),Trabajo
Barbosa,Rural Barbosa,18:00:00,6.469911722,-75.28788122,Bello,Bello-Comuna 02,18:50:00,6.3101734,-75.58572188,Moto (Conductor),Casa
Bello,Bello-Comuna 01,06:00:00,6.376872261,-75.61076536,Caldas,Urbana Caldas,07:00:00,6.096100992,-75.62506012,Moto (Conductor),Trabajo
Caldas,Urbana Caldas,16:30:00,6.10481205,-75.67636151,Bello,Bello-Comuna 01,17:30:00,6.343558359,-75.54254514,Moto (Conductor),Casa
Envigado,Zona 07,07:50:00,6.157047682,-75.5629585,Envigado,Zona 09,08:00:00,6.152275756,-75.5675633,Moto (Conductor),Trabajo
Envigado,Zona 09,18:00:00,6.179398642,-75.48570618,Envigado,Zona 07,18:10:00,6.151518405,-75.59801398,Moto (Conductor),Casa
Envigado,Zona 07,07:45:00,6.190842124,-75.50765571,Medellin,El Poblado,08:00:00,6.213285139,-75.56525871,Moto (Conductor),Trabajo
Medellin,El Poblado,18:00:00,6.183208122,-75.55559182,Envigado,Zona 07,18:15:00,6.137316217,-75.54959926,Moto (Conductor),Casa
Bello,Bello-Comuna 01,06:40:00,6.369799031,-75.66161531,Bello,Bello-Comuna 01,07:00:00,6.368022166,-75.55989663,Moto (Acompa?±ante),Estudio
Bello,Bello-Comuna 01,10:00:00,6.351687755,-75.55412679,Bello,Bello-Comuna 01,12:00:00,6.370988801,-75.66436898,Moto (Acompa?±ante),Casa
Bello,Bello-Comuna 01,11:30:00,6.394270354,-75.5733456,Medellin,El Poblado,11:55:00,6.217167939,-75.56592215,Moto (Conductor),Estudio
Medellin,El Poblado,20:00:00,6.208390179,-75.57166318,Bello,Bello-Comuna 01,20:40:00,6.347307703,-75.51920165,Moto (Conductor),Casa
Bello,Bello-Comuna 02,06:00:00,6.338574651,-75.61642717,Medellin,Guayabal,06:40:00,6.199140201,-75.58772264,Moto (Conductor),Trabajo
Medellin,Guayabal,15:00:00,6.197385108,-75.58435119,Bello,Bello-Comuna 02,15:45:00,6.397036115,-75.58607057,Moto (Conductor),Casa
Bello,Bello-Comuna 02,06:00:00,6.327117263,-75.57936876,Medellin,Guayabal,06:40:00,6.211119055,-75.58368236,Moto (Acompa?±ante),Trabajo
Medellin,Guayabal,15:00:00,6.225000652,-75.58559704,Bello,Bello-Comuna 02,15:45:00,6.378679545,-75.60703229,Moto (Acompa?±ante),Casa
Bello,Bello-Comuna 02,05:50:00,6.299378939,-75.53525873,Medellin,La Candelaria,06:45:00,6.23997425,-75.57558757,Moto (Conductor),Trabajo
Medellin,La Candelaria,14:00:00,6.244153531,-75.56132798,Bello,Bello-Comuna 02,14:50:00,6.375192132,-75.53267499,Moto (Conductor),Casa
Bello,Bello-Comuna 02,16:00:00,6.411920161,-75.59153882,Bello,Bello-Comuna 08,16:35:00,6.330911913,-75.54615648,Moto (Conductor),Compras
Bello,Bello-Comuna 08,17:20:00,6.340681599,-75.53781001,Bello,Bello-Comuna 02,17:55:00,6.388441212,-75.55964174,Moto (Conductor),Casa
Bello,Bello-Comuna 01,07:00:00,6.35777007,-75.53457127,Bello,Bello-Comuna 04,07:30:00,6.317717944,-75.61942935,Moto (Conductor),Trabajo
Bello,Bello-Comuna 04,17:00:00,6.391904138,-75.57401069,Bello,Bello-Comuna 01,17:30:00,6.34544579,-75.52951796,Moto (Conductor),Casa
Medellin,La America,12:30:00,6.261661816,-75.59781813,Bello,Bello-Comuna 01,12:45:00,6.393404853,-75.58928321,Moto (Conductor),Almuerzo
Bello,Bello-Comuna 01,15:00:00,6.307675598,-75.53742731,Medellin,La America,15:45:00,6.245306132,-75.61060445,Moto (Conductor),Trabajo
Bello,Bello-Comuna 01,14:00:00,6.323995074,-75.61877646,Sabaneta,Urbana Sabaneta,15:00:00,6.129775088,-75.62233872,Moto (Conductor),Diligencia
Sabaneta,Urbana Sabaneta,15:15:00,6.155950345,-75.62047117,Bello,Bello-Comuna 08,16:30:00,6.326577176,-75.61688692,Moto (Conductor),Trabajo
Bello,Bello-Comuna 08,19:00:00,6.377899909,-75.58118531,Bello,Bello-Comuna 01,19:15:00,6.391850208,-75.57443861,Moto (Conductor),Casa
Bello,Bello-Comuna 01,06:40:00,6.333519065,-75.63003926,Envigado,Zona 09,07:20:00,6.16822361,-75.57831217,Moto (Conductor),Trabajo
Envigado,Zona 09,17:00:00,6.161730612,-75.53866305,Bello,Bello-Comuna 01,18:10:00,6.385552446,-75.53867124,Moto (Conductor),Casa
Bello,Bello-Comuna 01,06:15:00,6.320037765,-75.61910325,Envigado,Zona 09,06:50:00,6.181066163,-75.57633589,Moto (Conductor),Trabajo
Envigado,Zona 09,17:30:00,6.166187944,-75.57782699,Bello,Bello-Comuna 01,18:20:00,6.376159238,-75.64510809,Moto (Conductor),Casa
Bello,Bello-Comuna 02,07:50:00,6.371509777,-75.55602443,Bello,Bello-Comuna 02,08:00:00,6.306963018,-75.53942354,Moto (Conductor),Alguien
Bello,Bello-Comuna 02,08:05:00,6.364299558,-75.53285601,Bello,Bello-Comuna 02,08:10:00,6.353361179,-75.57256924,Moto (Conductor),Casa
Bello,Bello-Comuna 02,13:00:00,6.319360045,-75.62562265,Bello,Bello-Comuna 02,13:05:00,6.370867786,-75.66127226,Moto (Conductor),Alguien
Bello,Bello-Comuna 02,13:10:00,6.42301463,-75.59332885,Bello,Bello-Comuna 02,13:20:00,6.33830516,-75.61457262,Moto (Conductor),Casa
Bello,Bello-Comuna 02,07:50:00,6.385967195,-75.59428311,Bello,Bello-Comuna 02,08:00:00,6.335689856,-75.63557439,Moto (Acompa?±ante),Estudio
Bello,Bello-Comuna 02,13:00:00,6.313290188,-75.56229359,Bello,Bello-Comuna 02,13:10:00,6.349749686,-75.52264736,Moto (Acompa?±ante),Casa
Bello,Bello-Comuna 02,06:30:00,6.396467242,-75.59428727,Medellin,Doce de Octubre,07:00:00,6.302361496,-75.5731559,Moto (Conductor),Diligencia
Medellin,Doce de Octubre,07:15:00,6.295037363,-75.58441868,Medellin,La Candelaria,07:45:00,6.256728384,-75.5749396,Moto (Conductor),Trabajo
Medellin,La Candelaria,15:00:00,6.25530997,-75.56430767,Bello,Bello-Comuna 02,16:30:00,6.379488235,-75.60497211,Moto (Conductor),Almuerzo
Bello,Bello-Comuna 02,12:20:00,6.341056209,-75.53840286,Medellin,Castilla,12:30:00,6.292191978,-75.56735743,Moto (Acompa?±ante),Estudio
Medellin,Castilla,18:30:00,6.278401143,-75.57697407,Bello,Bello-Comuna 02,18:40:00,6.375784933,-75.62668606,Moto (Acompa?±ante),Casa
Bello,Bello-Comuna 11,08:00:00,6.379009495,-75.64900498,Bello,Bello-Comuna 08,08:50:00,6.352526466,-75.62618228,Moto (Conductor),Trabajo
Bello,Bello-Comuna 08,21:20:00,6.342405375,-75.54767895,Bello,Bello-Comuna 11,21:50:00,6.335933216,-75.60582061,Moto (Conductor),Casa
Bello,Bello-Comuna 02,07:00:00,6.363658175,-75.59073718,Itagui,Itagui-Comuna 01,08:00:00,6.16567366,-75.61839113,Moto (Conductor),Trabajo
Itagui,Itagui-Comuna 01,17:00:00,6.183011839,-75.62224063,Bello,Bello-Comuna 02,18:00:00,6.315815956,-75.56739699,Moto (Conductor),Casa
Bello,Bello-Comuna 02,06:30:00,6.341634946,-75.58299878,Medellin,La Candelaria,07:00:00,6.25081459,-75.57850194,Moto (Conductor),Trabajo
Medellin,La Candelaria,20:00:00,6.255317889,-75.56669759,Bello,Bello-Comuna 02,20:30:00,6.306982431,-75.54811646,Moto (Conductor),Casa
Bello,Bello-Comuna 01,14:00:00,6.314918603,-75.56781068,Bello,Bello-Comuna 01,14:10:00,6.354335222,-75.61811213,Moto (Conductor),Recreacion
Bello,Bello-Comuna 01,16:00:00,6.359270341,-75.59858574,Bello,Bello-Comuna 01,16:05:00,6.359496447,-75.65540316,Moto (Conductor),Compras
Bello,Bello-Comuna 01,16:08:00,6.377945432,-75.64522136,Bello,Bello-Comuna 01,16:15:00,6.380137633,-75.53769877,Moto (Conductor),Casa
Bello,Bello-Comuna 01,06:30:00,6.374812549,-75.63417671,Copacabana,Urbana Copacabana,08:10:00,6.321045021,-75.49208726,Moto (Conductor),Trabajo
Copacabana,Urbana Copacabana,16:00:00,6.350470103,-75.49911451,Bello,Bello-Comuna 01,18:40:00,6.362564784,-75.59485838,Moto (Conductor),Casa
Bello,Bello-Comuna 01,14:00:00,6.318922914,-75.61521416,Bello,Bello-Comuna 01,14:10:00,6.309481075,-75.59720023,Moto (Acompa?±ante),Recreacion
Bello,Bello-Comuna 01,16:00:00,6.34149162,-75.58632283,Bello,Bello-Comuna 01,16:08:00,6.339448945,-75.57670288,Moto (Acompa?±ante),Casa
Bello,Bello-Comuna 01,05:00:00,6.342492673,-75.57918016,Medellin,La Candelaria,06:00:00,6.255951181,-75.57460153,Moto (Conductor),Trabajo
Medellin,La Candelaria,16:00:00,6.249702766,-75.55908203,Bello,Bello-Comuna 01,17:00:00,6.321239117,-75.61664034,Moto (Conductor),Casa
Bello,Bello-Comuna 05,09:30:00,6.398307518,-75.60675148,Bello,Bello-Comuna 02,09:40:00,6.340580092,-75.57594631,Moto (Conductor),Casa
Bello,Bello-Comuna 02,06:00:00,6.34273269,-75.54961886,Medellin,Aranjuez,06:45:00,6.285160855,-75.56055476,Moto (Conductor),Trabajo
Medellin,Aranjuez,15:00:00,6.280253751,-75.56564351,Bello,Bello-Comuna 02,15:50:00,6.405379408,-75.60657278,Moto (Conductor),Casa
Bello,Bello-Comuna 02,08:15:00,6.386783711,-75.57293812,Medellin,La Candelaria,08:45:00,6.254610704,-75.5704329,Moto (Conductor),Trabajo
Medellin,La Candelaria,18:10:00,6.251421446,-75.56414649,Medellin,La Candelaria,18:30:00,6.252744432,-75.5742459,Moto (Conductor),Estudio
Medellin,La Candelaria,21:00:00,6.237335041,-75.57491419,Bello,Bello-Comuna 02,21:30:00,6.318726485,-75.5973621,Moto (Conductor),Casa
Bello,Bello-Comuna 02,07:00:00,6.327680689,-75.5818416,Medellin,Robledo,07:50:00,6.278252894,-75.62196838,Moto (Conductor),Estudio
Medellin,Robledo,15:50:00,6.262588603,-75.57806945,Bello,Bello-Comuna 02,16:40:00,6.3354081,-75.56954697,Moto (Conductor),Casa
Bello,Bello-Comuna 01,04:30:00,6.371010927,-75.62713358,Medellin,El Poblado,05:30:00,6.216304964,-75.57427363,Moto (Acompa?±ante),Trabajo
Medellin,El Poblado,18:00:00,6.194886217,-75.56518251,Bello,Bello-Comuna 01,19:00:00,6.399134999,-75.57289455,Moto (Acompa?±ante),Casa
Bello,Bello-Comuna 02,04:30:00,6.375339213,-75.6624188,Medellin,La Candelaria,05:00:00,6.254899578,-75.56920294,Moto (Conductor),Trabajo
Medellin,La Candelaria,15:00:00,6.250460765,-75.55930686,Bello,Bello-Comuna 02,15:30:00,6.333780733,-75.5443905,Moto (Conductor),Casa
Bello,Bello-Comuna 02,05:20:00,6.342273738,-75.60057158,Medellin,Laureles-Estadio,05:50:00,6.239270299,-75.60171895,Moto (Conductor),Estudio
Medellin,Laureles-Estadio,11:00:00,6.262351022,-75.59233662,Bello,Bello-Comuna 02,11:30:00,6.375053516,-75.5525007,Moto (Conductor),Casa
Bello,Bello-Comuna 02,07:00:00,6.396192039,-75.58263746,Itagui,Itagui-Comuna 03,07:40:00,6.183217317,-75.61163551,Moto (Conductor),Diligencia
Itagui,Itagui-Comuna 03,17:00:00,6.190378791,-75.5921922,Bello,Bello-Comuna 02,17:30:00,6.336233991,-75.56852124,Moto (Conductor),Casa
Envigado,Zona 08,07:00:00,6.130917037,-75.57968408,Medellin,Belen,07:50:00,6.221699212,-75.60021263,Moto (Conductor),Trabajo
Medellin,Belen,16:00:00,6.233206533,-75.58534865,Envigado,Zona 08,17:00:00,6.159436175,-75.54849568,Moto (Conductor),Casa
Bello,Bello-Comuna 01,07:40:00,6.368252435,-75.5504357,Bello,Bello-Comuna 04,08:00:00,6.312021297,-75.54194928,Moto (Acompa?±ante),Estudio
Bello,Bello-Comuna 04,12:00:00,6.386350798,-75.56475442,Bello,Bello-Comuna 01,12:15:00,6.429983015,-75.59198572,Moto (Acompa?±ante),Casa
Bello,Bello-Comuna 01,14:00:00,6.409462722,-75.57154267,Bello,Rural Bello,15:00:00,6.344782356,-75.64916795,Moto (Conductor),Recreacion
Bello,Rural Bello,17:00:00,6.387554483,-75.57041735,Medellin,Laureles-Estadio,19:00:00,6.251446846,-75.58708887,Moto (Conductor),Recreacion
Medellin,Laureles-Estadio,20:00:00,6.238193914,-75.6058203,Bello,Bello-Comuna 01,20:30:00,6.355085561,-75.56353718,Moto (Conductor),Casa
Bello,Bello-Comuna 01,14:00:00,6.356170166,-75.61563531,Bello,Rural Bello,15:00:00,6.359104399,-75.55944525,Moto (Acompa?±ante),Recreacion
Bello,Rural Bello,17:00:00,6.33790901,-75.62813086,Medellin,Laureles-Estadio,19:00:00,6.240745053,-75.58861558,Moto (Acompa?±ante),Recreacion
Medellin,Laureles-Estadio,20:00:00,6.248259571,-75.60021907,Bello,Bello-Comuna 01,20:30:00,6.342892429,-75.62192752,Moto (Acompa?±ante),Casa
Bello,Bello-Comuna 01,05:00:00,6.416156113,-75.57001303,Envigado,Zona 01,05:50:00,6.162251039,-75.51857757,Moto (Acompa?±ante),Trabajo
Envigado,Zona 01,15:00:00,6.118857738,-75.57222975,Medellin,La Candelaria,15:20:00,6.251760817,-75.5673631,Moto (Acompa?±ante),Diligencia
Medellin,La Candelaria,19:00:00,6.264446153,-75.56878498,Bello,Bello-Comuna 01,20:10:00,6.405468737,-75.57907881,Moto (Acompa?±ante),Casa
Bello,Bello-Comuna 01,17:00:00,6.367624552,-75.55895126,Bello,Bello-Comuna 01,17:12:00,6.397682334,-75.56872371,Moto (Acompa?±ante),Diligencia
Bello,Bello-Comuna 01,08:00:00,6.403161967,-75.56802488,Medellin,Laureles-Estadio,08:30:00,6.259507507,-75.5878437,Moto (Acompa?±ante),Alguien
Medellin,Laureles-Estadio,12:00:00,6.256447594,-75.58930634,Bello,Bello-Comuna 01,12:30:00,6.371598991,-75.54053881,Moto (Acompa?±ante),Casa
Envigado,Zona 07,05:30:00,6.118451597,-75.58365658,Medellin,Aranjuez,06:00:00,6.288605606,-75.56474425,Moto (Conductor),Trabajo
Medellin,Aranjuez,14:00:00,6.2848711,-75.56618198,Envigado,Zona 07,14:30:00,6.167844857,-75.52278918,Moto (Conductor),Casa
Bello,Bello-Comuna 02,05:50:00,6.363522287,-75.51794908,Itagui,Itagui-Comuna 04,06:30:00,6.175142697,-75.63146412,Moto (Conductor),Trabajo
Itagui,Itagui-Comuna 04,18:30:00,6.170156293,-75.64171044,Bello,Bello-Comuna 02,19:00:00,6.369628696,-75.62467897,Moto (Conductor),Casa
Bello,Bello-Comuna 02,05:30:00,6.37480673,-75.54540706,Bello,Bello-Comuna 04,05:35:00,6.387139257,-75.61937609,Moto (Acompa?±ante),Diligencia
Bello,Bello-Comuna 02,05:50:00,6.354538773,-75.64937224,Itagui,Itagui-Comuna 04,06:30:00,6.167411093,-75.60664172,Moto (Acompa?±ante),Trabajo
Itagui,Itagui-Comuna 04,18:30:00,6.174475949,-75.60594923,Bello,Bello-Comuna 02,19:00:00,6.393296332,-75.56385333,Moto (Acompa?±ante),Casa
Envigado,Zona 06,07:20:00,6.137502633,-75.53122151,Medellin,El Poblado,07:55:00,6.218166471,-75.56886838,Moto (Conductor),Trabajo
Medellin,El Poblado,17:00:00,6.194802568,-75.56735667,Envigado,Zona 06,17:30:00,6.15062837,-75.57101699,Moto (Conductor),Casa
Bello,Bello-Comuna 07,12:00:00,6.368514576,-75.5685185,Bello,Bello-Comuna 08,12:10:00,6.36768529,-75.5507904,Moto (Conductor),Salud
Bello,Bello-Comuna 08,12:50:00,6.331747017,-75.54842201,Bello,Bello-Comuna 07,13:00:00,6.391273412,-75.58414617,Moto (Conductor),Almuerzo
Bello,Bello-Comuna 07,08:30:00,6.336866898,-75.62701623,Medellin,La Candelaria,09:00:00,6.233068608,-75.5696287,Moto (Conductor),Trabajo
Bello,Bello-Comuna 07,07:00:00,6.320401274,-75.58798915,Medellin,La Candelaria,08:00:00,6.251408192,-75.56505931,Moto (Conductor),Trabajo
Medellin,La Candelaria,18:00:00,6.24888254,-75.56313145,Bello,Bello-Comuna 07,18:30:00,6.386155611,-75.59736228,Moto (Conductor),Casa
Bello,Bello-Comuna 07,17:30:00,6.366918369,-75.57983145,Bello,Bello-Comuna 08,18:00:00,6.34251112,-75.52634448,Moto (Acompa?±ante),Compras
Bello,Bello-Comuna 08,19:00:00,6.376804979,-75.60385269,Bello,Bello-Comuna 07,19:25:00,6.31719898,-75.57085443,Moto (Acompa?±ante),Casa
Bello,Bello-Comuna 07,05:30:00,6.331485981,-75.64675323,Medellin,Buenos Aires,06:00:00,6.216417323,-75.55946699,Moto (Conductor),Trabajo
Medellin,Buenos Aires,17:00:00,6.23731223,-75.55627648,Bello,Bello-Comuna 07,17:15:00,6.330594199,-75.62168171,Moto (Conductor),Alguien
Bello,Bello-Comuna 07,17:30:00,6.414742175,-75.57408055,Bello,Bello-Comuna 08,18:00:00,6.340386326,-75.6103905,Moto (Conductor),Alguien
Bello,Bello-Comuna 08,19:00:00,6.315493028,-75.59437405,Bello,Bello-Comuna 07,19:25:00,6.376720653,-75.53202605,Moto (Conductor),Casa
Bello,Bello-Comuna 07,17:30:00,6.400303073,-75.56539563,Bello,Bello-Comuna 08,18:00:00,6.370663635,-75.53975792,Moto (Acompa?±ante),Alguien
Bello,Bello-Comuna 08,19:00:00,6.340352781,-75.64339534,Bello,Bello-Comuna 07,19:25:00,6.371187486,-75.5580946,Moto (Acompa?±ante),Casa
Bello,Bello-Comuna 07,06:20:00,6.360779337,-75.57269511,Bello,Bello-Comuna 04,06:30:00,6.305930839,-75.54376514,Moto (Acompa?±ante),Estudio
Bello,Bello-Comuna 02,12:00:00,6.368568742,-75.56228947,Bello,Bello-Comuna 02,12:20:00,6.40385348,-75.57569305,Moto (Conductor),Trabajo
Bello,Bello-Comuna 02,13:00:00,6.400449151,-75.60924848,Bello,Bello-Comuna 02,14:10:00,6.321007725,-75.62159238,Moto (Conductor),Casa
Bello,Bello-Comuna 02,06:00:00,6.344848833,-75.64560051,Medellin,La Candelaria,07:00:00,6.250489412,-75.57289772,Moto (Conductor),Trabajo
Medellin,La Candelaria,17:00:00,6.2543703,-75.57103341,Bello,Bello-Comuna 02,18:00:00,6.314914405,-75.59977459,Moto (Conductor),Casa
Bello,Bello-Comuna 01,07:00:00,6.305425088,-75.5312179,Sabaneta,Urbana Sabaneta,08:00:00,6.137446273,-75.62679937,Moto (Conductor),Trabajo
Sabaneta,Urbana Sabaneta,18:00:00,6.123636745,-75.60292433,Bello,Bello-Comuna 01,19:00:00,6.397909379,-75.59803604,Moto (Conductor),Casa
Bello,Bello-Comuna 02,06:15:00,6.355231149,-75.61659265,Medellin,La Candelaria,06:55:00,6.245748089,-75.55859098,Moto (Conductor),Trabajo
Medellin,La Candelaria,15:00:00,6.252903261,-75.55875595,Bello,Bello-Comuna 02,15:45:00,6.362711884,-75.65133695,Moto (Conductor),Casa
Bello,Bello-Comuna 02,17:00:00,6.401476999,-75.58657032,Bello,Bello-Comuna 08,17:20:00,6.359830601,-75.54213032,Moto (Conductor),Compras
Bello,Bello-Comuna 08,18:15:00,6.391092178,-75.60491569,Bello,Bello-Comuna 02,18:40:00,6.35461832,-75.60152783,Moto (Conductor),Casa
Medellin,Guayabal,07:30:00,6.203957407,-75.58013127,La Estrella,Rural La Estrella,08:00:00,6.122383852,-75.664239,Moto (Conductor),Trabajo
La Estrella,Rural La Estrella,17:00:00,6.124621891,-75.66239601,Medellin,Guayabal,17:30:00,6.220528169,-75.58714935,Moto (Conductor),Casa
Bello,Bello-Comuna 03,15:30:00,6.403250295,-75.59579685,Bello,Bello-Comuna 04,16:00:00,6.363383691,-75.56976274,Moto (Conductor),Trabajo
Bello,Bello-Comuna 04,23:30:00,6.368744284,-75.56786697,Bello,Bello-Comuna 03,23:59:00,6.347254618,-75.5882803,Moto (Conductor),Casa
Bello,Bello-Comuna 03,13:00:00,6.376689615,-75.61305196,Bello,Bello-Comuna 08,13:15:00,6.378608519,-75.61546252,Moto (Conductor),Recreacion
Bello,Bello-Comuna 08,15:00:00,6.359770008,-75.58545917,Bello,Bello-Comuna 04,15:10:00,6.348378716,-75.53671515,Moto (Conductor),Recreacion
Bello,Bello-Comuna 04,16:00:00,6.340188252,-75.63165396,Bello,Bello-Comuna 03,16:05:00,6.351573871,-75.59426814,Moto (Conductor),Casa
Bello,Bello-Comuna 03,06:00:00,6.406790815,-75.57521229,Medellin,La Candelaria,07:00:00,6.248671216,-75.55904536,Moto (Conductor),Trabajo
Medellin,La Candelaria,17:00:00,6.254974276,-75.57415051,Medellin,Aranjuez,18:00:00,6.281484449,-75.55493565,Moto (Conductor),Recreacion
Medellin,Aranjuez,21:30:00,6.275448615,-75.55473068,Bello,Bello-Comuna 03,22:00:00,6.358024593,-75.65556901,Moto (Conductor),Casa
Bello,Bello-Comuna 01,08:00:00,6.309460194,-75.54274375,Medellin,Castilla,08:30:00,6.286145445,-75.56752673,Moto (Conductor),Trabajo
Medellin,Castilla,19:00:00,6.297731653,-75.55972664,Bello,Bello-Comuna 01,19:30:00,6.383013756,-75.54418838,Moto (Conductor),Casa
Bello,Bello-Comuna 01,08:00:00,6.406017181,-75.60063044,Bello,Bello-Comuna 01,08:10:00,6.387071312,-75.5815717,Moto (Conductor),Trabajo
Bello,Bello-Comuna 01,18:00:00,6.329404284,-75.55865802,Bello,Bello-Comuna 01,18:10:00,6.364126709,-75.55837212,Moto (Conductor),Casa
Bello,Bello-Comuna 02,06:30:00,6.326439917,-75.64246791,Medellin,Doce de Octubre,07:00:00,6.305232761,-75.57158846,Moto (Conductor),Trabajo
Medellin,Doce de Octubre,21:00:00,6.296995076,-75.58225575,Bello,Bello-Comuna 02,21:30:00,6.310928354,-75.54029173,Moto (Conductor),Casa
Bello,Bello-Comuna 02,06:30:00,6.426301659,-75.58583656,Medellin,Villa Hermosa,07:00:00,6.253615071,-75.55544407,Moto (Conductor),Trabajo
Medellin,Villa Hermosa,13:00:00,6.244720696,-75.5473533,Bello,Bello-Comuna 02,13:30:00,6.318578712,-75.61136501,Moto (Conductor),Casa
Bello,Bello-Comuna 03,07:00:00,6.332286355,-75.57758227,Medellin,El Poblado,08:00:00,6.217973802,-75.56861009,Moto (Conductor),Trabajo
Medellin,El Poblado,18:00:00,6.208432933,-75.56844625,Bello,Bello-Comuna 03,19:15:00,6.323185601,-75.56039276,Moto (Conductor),Casa
Bello,Bello-Comuna 03,08:00:00,6.40260544,-75.59015429,Medellin,La Candelaria,09:00:00,6.257448462,-75.5748008,Moto (Conductor),Trabajo
Medellin,La Candelaria,16:00:00,6.260551426,-75.56742226,Bello,Bello-Comuna 03,17:00:00,6.358003468,-75.63200082,Moto (Conductor),Casa
Bello,Bello-Comuna 03,08:00:00,6.405491981,-75.57275826,Bello,Bello-Comuna 08,08:30:00,6.310495249,-75.58003882,Moto (Conductor),Trabajo
Bello,Bello-Comuna 08,14:30:00,6.366453538,-75.52054174,Bello,Bello-Comuna 03,15:00:00,6.325002082,-75.53577275,Moto (Conductor),Casa
Bello,Bello-Comuna 03,08:00:00,6.36125337,-75.5534717,Medellin,El Poblado,08:40:00,6.210863113,-75.57372624,Moto (Conductor),Trabajo
Medellin,El Poblado,12:00:00,6.210485585,-75.57737056,Bello,Bello-Comuna 03,12:40:00,6.361724398,-75.56500532,Moto (Conductor),Casa
Bello,Bello-Comuna 03,15:00:00,6.326057306,-75.61534802,Medellin,El Poblado,15:50:00,6.18599746,-75.56405533,Moto (Conductor),Trabajo
Medellin,El Poblado,22:00:00,6.186515735,-75.57088454,Bello,Bello-Comuna 03,23:00:00,6.366221218,-75.59536708,Moto (Conductor),Casa
