ORIGIN_MUNICIPIO,ORIGIN_COMUNA,ORIGIN_TIME,o_lat,o_long,DESTINATION_MUNICIPIO,DESTINATION_COMUNA,DESTINATION_TIME,d_lat,d_long,TRANSPORT_MODE_S1,TRIP_PURPOSE
Itagui,Itagui-Comuna 04,14:30:00,6.195364916,-75.60615846,Sabaneta,Urbana Sabaneta,14:45:00,6.156476727,-75.60980187,Moto (Acompa?±ante),Recreacion
Sabaneta,Urbana Sabaneta,23:46:00,6.144871963,-75.63128554,Itagui,Itagui-Comuna 04,23:59:00,6.161582957,-75.63398884,Moto (Acompa?±ante),Casa
Itagui,Itagui-Comuna 02,22:30:00,6.173804161,-75.61881274,Itagui,Itagui-Comuna 04,23:45:00,6.176138454,-75.61099107,Moto (Acompa?±ante),Casa
Itagui,Itagui-Comuna 04,11:00:00,6.181968063,-75.60038986,Envigado,Zona 09,11:15:00,6.149412335,-75.56938781,Moto (Conductor),Trabajo
Envigado,Zona 09,19:30:00,6.192785891,-75.4920593,Itagui,Itagui-Comuna 04,19:45:00,6.187082031,-75.59357075,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,11:30:00,6.192612296,-75.58482289,Medellin,Belen,11:45:00,6.218369633,-75.60784164,Moto (Conductor),Trabajo
Medellin,Belen,22:00:00,6.235347946,-75.58885347,Itagui,Itagui-Comuna 04,22:20:00,6.171696046,-75.60475693,Moto (Conductor),Casa
Itagui,Itagui-Comuna 02,19:00:00,6.176341405,-75.62668062,Itagui,Itagui-Comuna 04,19:20:00,6.164901028,-75.62983097,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,06:30:00,6.18911191,-75.5924427,Medellin,El Poblado,07:00:00,6.198670142,-75.56300375,Moto (Acompa?±ante),Trabajo
Medellin,El Poblado,15:00:00,6.189270179,-75.58300847,Itagui,Itagui-Comuna 04,15:30:00,6.182322118,-75.61762752,Moto (Acompa?±ante),Casa
Itagui,Itagui-Comuna 04,07:00:00,6.183079649,-75.62884776,Envigado,Zona 09,07:30:00,6.176854662,-75.50691647,Moto (Conductor),Trabajo
Envigado,Zona 09,16:30:00,6.142326345,-75.54637879,Itagui,Itagui-Comuna 04,17:00:00,6.177533503,-75.63507331,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,04:00:00,6.187887694,-75.61546186,Bello,Bello-Comuna 03,05:30:00,6.334251851,-75.57589788,Moto (Conductor),Trabajo
Bello,Bello-Comuna 03,16:00:00,6.332992603,-75.54838598,Itagui,Itagui-Comuna 04,17:00:00,6.168041801,-75.60881351,Moto (Conductor),Casa
Itagui,Itagui-Comuna 05,06:50:00,6.194357576,-75.61272387,Itagui,Itagui-Comuna 01,07:00:00,6.194406008,-75.5876816,Moto (Conductor),Trabajo
Itagui,Itagui-Comuna 01,17:20:00,6.178878151,-75.63292959,Itagui,Itagui-Comuna 05,17:30:00,6.177679338,-75.59893657,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,06:30:00,6.193174998,-75.62193453,Medellin,Guayabal,07:00:00,6.225873276,-75.58118722,Moto (Conductor),Trabajo
Medellin,Guayabal,17:30:00,6.212281717,-75.58643163,Itagui,Itagui-Comuna 04,18:00:00,6.170669384,-75.61319674,Moto (Conductor),Casa
Medellin,Corregimiento Altavista,08:00:00,6.251767788,-75.64641724,Medellin,Corregimiento Altavista,08:05:00,6.256217355,-75.65187547,Moto (Conductor),Otro
Medellin,Corregimiento Altavista,09:00:00,6.22602181,-75.6287594,Medellin,Corregimiento Altavista,09:05:00,6.25235045,-75.663743,Moto (Conductor),Casa
